#AC.SeqVer.	EntryVer.	Ver.Date	Taxid	Description
CP003856.1	3	20140203	1100841	Acinetobacter baumannii TYTH-1
CP006768.1	4	20150215	1400867	Acinetobacter baumannii ZW85-1
CP002177.1	5	20140515	871585	Acinetobacter calcoaceticus PHEA-2
CP002080.1	6	20140515	436717	Acinetobacter oleivorans DR1
CR543861.1	9	20150227	62977	Acinetobacter sp. ADP1
CP007715.1	1	20141216	202947	Actinobacillus equuli subsp. equuli strain 19392
CP000687.1	4	20140515	434271	Actinobacillus pleuropneumoniae serovar 3 str. JL03
CP000569.1	7	20140515	416269	Actinobacillus pleuropneumoniae serovar 5b str. L20
CP001091.1	7	20140515	537457	Actinobacillus pleuropneumoniae serovar 7 str. AP76
CP000746.1	5	20140515	339671	Actinobacillus succinogenes 130Z
CP009159.1	1	20140815	743972	Actinobacillus suis ATCC 33415
CP003875.1	4	20140516	696748	Actinobacillus suis H91-0380
CP008802.1	2	20140918	59505	Actinobaculum schaalii strain CCUG 27420
CP006272.1	5	20150109	1246995	Actinoplanes friuliensis DSM 7358
AP012319.1	1	20120329	512565	Actinoplanes missouriensis 431
CP005929.1	4	20140515	649831	Actinoplanes sp. N902-109
CP003170.1	5	20140515	134676	Actinoplanes sp. SE50/110
CP001630.1	4	20140102	446462	Actinosynnema mirum DSM 43827
AP013105.1	2	20131001	1384484	Adlercreutzia equolifaciens DSM 19450
CP003555.1	4	20140515	1036672	Advenella kashmirensis WT001
CP003915.1	5	20150118	1247726	Advenella mimigardefordensis DPN7
CP003280.1	3	20150109	746697	Aequorivita sublithincola DSM 14238
CP002512.1	4	20131216	866775	Aerococcus urinae ACS-120-V-Col10a
CP010947.1	1	20150307	644	Aeromonas hydrophila strain AL06-06
CP011100.1	1	20150327	644	Aeromonas hydrophila strain AH10
CP006579.1	5	20140515	1354302	Aeromonas hydrophila 4AK4
CP007566.1	4	20140604	1418110	Aeromonas hydrophila AL09-71
CP006883.1	1	20150118	1419584	Aeromonas hydrophila J-1
CP007576.1	5	20140615	1418107	Aeromonas hydrophila pc104A
CP000462.1	9	20140515	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966
CP007518.1	4	20141019	1448139	Aeromonas hydrophila YL17
CP007567.1	4	20140515	1208104	Aeromonas media WS
CP000644.1	5	20140515	382245	Aeromonas salmonicida subsp. salmonicida A449
CP002607.1	6	20140515	998088	Aeromonas veronii B565
CP003099.1	5	20140515	754507	Aggregatibacter actinomycetemcomitans ANH9381
CP003496.1	3	20140516	694569	Aggregatibacter actinomycetemcomitans D7S-1
CP001733.1	7	20150122	668336	Aggregatibacter actinomycetemcomitans D11S-1
CP007502.1	2	20140501	272556	Aggregatibacter actinomycetemcomitans HK1651
CP001607.1	2	20140131	634176	Aggregatibacter aphrophilus NJ8700
AE007869.2	8	20140515	176299	Agrobacterium fabrum str. C58
AE007870.2	12	20140515	176299	Agrobacterium fabrum str. C58 (Cereon) chromosome (linear)
CP002248.1	6	20140515	861208	Agrobacterium sp. H13-3 circular chromosome
CP000628.1	6	20140515	311403	Agrobacterium radiobacter K84 chromosome 1
CP000629.1	7	20140515	311403	Agrobacterium radiobacter K84 chromosome 2
CP000633.1	6	20140515	311402	Agrobacterium vitis S4 chromosome 1
CP000634.1	6	20140515	311402	Agrobacterium vitis S4 chromosome 2
CP001071.1	4	20131212	349741	Akkermansia muciniphila ATCC BAA-835
AM286690.1	7	20150227	393595	Alcanivorax borkumensis SK2
CP003466.1	8	20140515	930169	Alcanivorax dieselolei B5
CP004387.1	1	20150113	391936	Alcanivorax pacificus W11-5
AP014613.1	2	20140821	1113728	Alcanivorax sp. NBRC 101098
CP002449.1	4	20140516	596153	Alicycliphilus denitrificans BC
CP002657.1	4	20111012	596154	Alicycliphilus denitrificans K601
CP001727.1	3	20131216	521098	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
CP002902.1	5	20140515	1048834	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
CP000020.2	11	20140515	312309	Vibrio fischeri ES114 chromosome I
CP000021.2	8	20140515	312309	Vibrio fischeri ES114 chromosome II
CP001139.1	8	20140515	388396	Vibrio fischeri MJ11 chromosome I
CP001133.1	7	20140515	388396	Vibrio fischeri MJ11 chromosome II
FM178379.1	9	20150206	316275	Aliivibrio salmonicida LFI1238 chromosome 1
FM178380.1	6	20150206	316275	Aliivibrio salmonicida LFI1238 chromosome 2
CP003274.1	3	20150118	679935	Alistipes finegoldii DSM 17242
FP929032.1	2	20150227	717959	Alistipes shahii WAL 8301 draft
CP000453.1	11	20140515	187272	Alkalilimnicola ehrlichii MLHE-1
CP000724.1	4	20140515	293826	Alkaliphilus metalliredigens QYMF
CP000853.1	3	20131212	350688	Alkaliphilus oremlandii OhILAs
CP001896.1	6	20140515	572477	Allochromatium vinosum DSM 180
CP003809.1	2	20131216	859653	Alpha proteobacterium HIMB5
CP003801.1	2	20131216	744985	Alpha proteobacterium HIMB59
CP008849.1	1	20140718	589873	Alteromonas australica strain H 17
CP003917.1	4	20140515	1004786	Alteromonas macleodii AltDE1
CP003841.1	5	20140515	529120	Alteromonas macleodii ATCC 27126
CP004848.1	4	20150219	1300254	Alteromonas macleodii str. 'Aegean Sea MED64'
CP003873.1	3	20140515	1004787	Alteromonas macleodii str. 'Balearic Sea AD45'
CP003845.1	3	20140515	1004785	Alteromonas macleodii str. 'Black Sea 11'
CP001103.3	9	20140515	314275	Alteromonas macleodii str. 'Deep ecotype'
CP004846.1	4	20150219	1300253	Alteromonas macleodii str. 'English Channel 615'
CP003844.1	3	20140515	1004788	Alteromonas macleodii str. 'English Channel 673'
CP004849.1	4	20150219	1300255	Alteromonas macleodii str. 'Ionian Sea U4'
CP004851.1	4	20150219	1300256	Alteromonas macleodii str. 'Ionian Sea U7'
CP004852.1	4	20150219	1300257	Alteromonas macleodii str. 'Ionian Sea U8'
CP004855.1	4	20150219	1300259	Alteromonas macleodii str. 'Ionian Sea UM4b'
CP004853.1	4	20150219	1300258	Alteromonas macleodii str. 'Ionian Sea UM7'
CP002339.1	5	20140515	715451	Alteromonas sp. SN2
CP001997.1	6	20150118	572547	Aminobacterium colombiense DSM 12261
CP001785.1	5	20140515	429009	Ammonifex degensii KC4
AP012050.1	1	20121002	698758	Amphibacillus xylanus NBRC 15112
CP008953.1	2	20141002	208439	Amycolatopsis japonica strain MG417-CF17
CP007219.1	2	20150320	1460371	Amycolatopsis lurida NRRL 2430
CP003777.1	4	20140515	1221524	Amycolatopsis mediterranei RB
CP002896.1	6	20140516	713604	Amycolatopsis mediterranei S699
CP003729.1	5	20140515	713604	Amycolatopsis mediterranei S699
CP002000.1	4	20140515	749927	Amycolatopsis mediterranei U32
CP009110.1	1	20140815	1068978	Amycolatopsis methanolica 239
CP003410.1	5	20140515	1156913	Amycolatopsis orientalis HCCB10007
CP002786.1	5	20140515	443218	Amycolicicoccus subflavus DQS3-9A1
CP003659.1	2	20130718	272123	Anabaena cylindrica PCC 7122
CP000117.1	10	20140515	240292	Anabaena variabilis ATCC 29413
CP000118.1	6	20140515	240292	Anabaena variabilis ATCC 29413 incision element
CP003198.1	4	20150109	891968	Anaerobaculum mobile DSM 13181
CP001708.1	3	20131212	525919	Anaerococcus prevotii DSM 20548
AP012029.1	2	20110603	926569	Anaerolinea thermophila UNI-1
CP001359.1	3	20140102	455488	Anaeromyxobacter dehalogenans 2CP-1
CP000251.1	12	20140515	290397	Anaeromyxobacter dehalogenans 2CP-C
CP000769.1	5	20150314	404589	Anaeromyxobacter sp. Fw109-5
CP001131.1	4	20131212	447217	Anaeromyxobacter sp. K
CP001759.1	6	20140516	574556	Anaplasma centrale str. Israel
CP001079.1	5	20140516	320483	Anaplasma marginale str. Florida
CP000030.1	9	20140515	234826	Anaplasma marginale str. St. Maries
CP006616.1	5	20150108	1184253	Anaplasma phagocytophilum str. HZ2
CP000235.1	7	20140515	212042	Anaplasma phagocytophilum str. HZ
CP006617.1	4	20140516	1173064	Anaplasma phagocytophilum str. JM
CP000922.1	5	20140516	491915	Anoxybacillus flavithermus WK1
AE000657.1	9	20140515	224324	Aquifex aeolicus VF5
CP002045.1	5	20140515	644284	Arcanobacterium haemolyticum DSM 20595
CP006615.1	4	20140516	1036172	Arcobacter butzleri 7h1h
AP012047.1	2	20111116	944546	Arcobacter butzleri ED-1
CP000361.1	5	20140515	367737	Arcobacter butzleri RM4018
CP001999.1	7	20140515	572480	Arcobacter nitrofigilis DSM 7299
AP012048.1	2	20111116	944547	Arcobacter sp. L
CR555306.1	9	20150227	76114	Aromatoleum aromaticum EbN1
FQ311875.1	3	20150227	256701	Arthrobacter arilaitensis RE117 chromosome
CP000474.1	7	20140515	290340	Arthrobacter aurescens TC1
CP001341.1	3	20140515	452863	Arthrobacter chlorophenolicus A6
CP002379.1	3	20130403	930171	Arthrobacter phenanthrenivorans Sphe3
CP000454.1	11	20140515	290399	Arthrobacter sp. FB24
CP011005.1	1	20150314	1618207	Arthrobacter sp. IHBB 11108
CP003203.1	5	20140515	1118963	Arthrobacter sp. Rue61a
AP011615.1	1	20100421	696747	Arthrospira platensis NIES-39 DNA
FO818640.1	2	20150307	35824	Arthrospira sp. str. PCC 8005 chromosome
CP000061.1	6	20140515	322098	Aster yellows witches'-broom phytoplasma AYWB
CP002395.1	4	20140516	573065	Asticcacaulis excentricus CB 48 chromosome 1
CP002396.1	4	20140516	573065	Asticcacaulis excentricus CB 48 chromosome 2
CP001721.1	3	20131212	521095	Atopobium parvulum DSM 20469
AM406670.1	4	20150227	62928	Azoarcus sp. BH72
AP012304.1	2	20130329	748247	Azoarcus sp. KH32C
AP009384.1	13	20130417	438753	Azorhizobium caulinodans ORS 571
CP003153.1	4	20131111	640081	Dechlorosoma suillum PS
CP007793.1	3	20140801	192	Azospirillum brasilense strain Az39
HE577327.1	3	20150227	1064539	Azospirillum brasilense Sp245 main chromosome
FQ311868.1	3	20120110	862719	Azospirillum lipoferum 4B main chromosome
AP010946.1	2	20101223	137722	Azospirillum sp. B510
CP010415.1	1	20150213	1328314	Azotobacter chroococcum NCIMB 8003
CP005095.1	2	20130620	1283331	Azotobacter vinelandii CA6
CP005094.1	2	20130620	1283330	Azotobacter vinelandii CA
CP001157.1	5	20140204	322710	Azotobacter vinelandii DJ
CP010556.1	1	20150206	1390	Bacillus amyloliquefaciens strain L-H15
CP011278.1	1	20150421	1390	Bacillus amyloliquefaciens strain L-S60
CP006845.1	5	20140515	1412898	Bacillus amyloliquefaciens CC178
FN597644.1	3	20150227	692420	Bacillus amyloliquefaciens DSM 7
CP004065.1	3	20140515	1091041	Bacillus amyloliquefaciens IT-45
CP006952.1	3	20140501	1415165	Bacillus amyloliquefaciens LFB112
CP002634.1	5	20140515	1001582	Bacillus amyloliquefaciens LL3
CP006890.1	2	20141002	1423138	Bacillus amyloliquefaciens SQR9
CP007242.1	1	20150211	1292358	Bacillus amyloliquefaciens subsp. amyloliquefaciens KHG19
CP003838.1	3	20140203	1225788	Bacillus amyloliquefaciens subsp. plantarum AS43.3
HE617159.1	5	20150227	1114958	Bacillus amyloliquefaciens subsp. plantarum CAU B946
CP000560.1	6	20140515	326423	Bacillus amyloliquefaciens subsp. plantarum FZB42
HG514499.1	2	20150227	1385727	Bacillus amyloliquefaciens subsp. plantarum NAU-B3
CP007165.1	1	20150421	1458206	Bacillus amyloliquefaciens subsp. plantarum NJN6
CP007244.1	3	20140515	1449088	Bacillus amyloliquefaciens subsp. plantarum TrigoCor1448
HG328253.1	2	20150227	1338518	Bacillus amyloliquefaciens subsp. plantarum UCMB5033
HF563562.1	3	20150227	1150475	Bacillus amyloliquefaciens subsp. plantarum UCMB5036
HG328254.1	2	20150227	1150476	Bacillus amyloliquefaciens subsp. plantarum UCMB5113
HE774679.1	5	20150227	1155777	Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2
CP002627.1	5	20140515	999891	Bacillus amyloliquefaciens TA208
CP002927.1	7	20140515	1034836	Bacillus amyloliquefaciens XH7
CP003332.1	6	20140515	1126211	Bacillus amyloliquefaciens Y2
CP008846.1	2	20140820	1392	Bacillus anthracis strain HYU01
CP009325.1	1	20150206	1392	Bacillus anthracis strain PAK-1
CP010322.1	2	20150222	1392	Bacillus anthracis strain Canadian_bison
CP009981.1	2	20150222	1392	Bacillus anthracis strain Ames_BA1004
CP009476.1	1	20150206	1392	Bacillus anthracis strain Pasteur
CP009902.1	1	20150206	1392	Bacillus anthracis strain 2002013094
CP009464.1	1	20150206	1392	Bacillus anthracis strain SK-102
CP009331.1	1	20150206	1392	Bacillus anthracis strain K3
CP009328.1	1	20150206	1392	Bacillus anthracis strain Vollum 1B
CP009700.1	1	20150206	1392	Bacillus anthracis strain BA1035
CP009697.1	1	20150206	1392	Bacillus anthracis strain RA3
CP009544.1	1	20150206	1392	Bacillus anthracis strain BA1015
CP009341.1	1	20150206	1392	Bacillus anthracis strain Ohio ACB
CP007618.1	1	20140822	1392	Bacillus anthracis strain 2000031021
CP008854.1	1	20140904	1392	Bacillus anthracis strain Han
CP008853.1	1	20140904	1392	Bacillus anthracis strain Cvac02
CP010852.1	1	20150215	1392	Bacillus anthracis strain A1144
CP010792.1	1	20150131	1392	Bacillus anthracis strain Ames A0462
AE017334.2	8	20140515	261594	Bacillus anthracis str. 'Ames Ancestor'
CP001970.1	3	20150326	743835	Bacillus anthracis str. A16
CP001974.1	3	20150326	673518	Bacillus anthracis str. A16R
CP001598.1	7	20140515	592021	Bacillus anthracis str. A0248
AE016879.1	7	20140515	198094	Bacillus anthracis str. Ames
CP001215.1	7	20140515	568206	Bacillus anthracis str. CDC 684
CP002091.1	6	20140515	768494	Bacillus anthracis str. H9401
AE017225.1	6	20140515	260799	Bacillus anthracis str. Sterne
CP009541.1	1	20150206	260799	Bacillus anthracis str. Sterne
CP006742.1	4	20141002	1392837	Bacillus anthracis str. SVA11
CP009315.1	1	20150206	1452727	Bacillus anthracis str. Turkey32
CP009598.1	1	20150206	1449979	Bacillus anthracis str. V770-NP-1R
CP007666.1	1	20140822	261591	Bacillus anthracis str. Vollum
CP010778.1	1	20150131	1452	Bacillus atrophaeus strain NRS 1221A
CP002207.1	3	20131216	720555	Bacillus atrophaeus 1942
CP007512.1	1	20140501	1330043	Bacillus bombysepticus str. Wang
CP002394.1	7	20140515	649639	Bacillus cellulosilyticus DSM 2522
CP009605.1	1	20150211	1396	Bacillus cereus strain S2-8
CP009369.1	1	20150206	1396	Bacillus cereus strain FM1
CP009651.1	1	20150206	1396	Bacillus cereus strain Al Hakam
CP009596.1	1	20150206	1396	Bacillus cereus strain 3a
CP008712.1	1	20140713	1396	Bacillus cereus strain FT9
CP009686.1	1	20150424	1396	Bacillus cereus strain FORC_005
CP009941.1	1	20141205	1396	Bacillus cereus strain 03BB87
CP001407.1	9	20140515	572264	Bacillus cereus 03BB102
CP009318.1	1	20150206	572264	Bacillus cereus 03BB102
CP009641.1	1	20150206	451709	Bacillus cereus 03BB108
CM000727.1	1	20090531	526979	Bacillus cereus 95/8201
CM000717.1	1	20090531	526967	Bacillus cereus 172560W
CP001177.1	5	20140515	405534	Bacillus cereus AH187
CM000737.1	1	20090531	526990	Bacillus cereus AH603
CM000719.1	1	20090531	526972	Bacillus cereus AH621
CM000738.1	1	20090531	526991	Bacillus cereus AH676
CP001283.1	6	20140515	405535	Bacillus cereus AH820
CM000739.1	1	20090531	526992	Bacillus cereus AH1271
CM000740.1	1	20090531	526993	Bacillus cereus AH1272
CM000741.1	1	20090531	526994	Bacillus cereus AH1273
CM000721.1	1	20090531	526977	Bacillus cereus ATCC 4342
CP009628.1	1	20150206	526977	Bacillus cereus ATCC 4342
CM000715.1	1	20090531	526980	Bacillus cereus ATCC 10876
AE017194.1	8	20140515	222523	Bacillus cereus ATCC 10987
AE016877.1	7	20140515	226900	Bacillus cereus ATCC 14579
CP001176.1	6	20140515	405532	Bacillus cereus B4264
CM000726.1	1	20090531	526978	Bacillus cereus BDRD-Cer4
CM000723.1	1	20090531	526974	Bacillus cereus BDRD-ST24
CM000724.1	1	20090531	526975	Bacillus cereus BDRD-ST26
CM000725.1	1	20090531	526976	Bacillus cereus BDRD-ST196
CM000716.1	1	20090531	526970	Bacillus cereus BGSC 6E1
CP001746.1	6	20140515	637380	Bacillus cereus biovar anthracis str. CI
CP009300.1	1	20150206	1454382	Bacillus cereus D17
CP000001.1	14	20140515	288681	Bacillus cereus E33L
CP009968.1	1	20150206	288681	Bacillus cereus E33L
CP003187.1	5	20140515	347495	Bacillus cereus F837/76
CM000736.1	1	20090531	526989	Bacillus cereus F65185
CP003747.1	2	20140203	1217984	Bacillus cereus FRI-35
CP009590.1	1	20150206	269801	Bacillus cereus G9241
CP001186.1	4	20140515	405531	Bacillus cereus G9842
CM000714.1	1	20090531	526973	Bacillus cereus m1293
CM000722.1	1	20090531	526969	Bacillus cereus m1550
CM000718.1	1	20090531	526971	Bacillus cereus MM3
AP007209.1	2	20120821	334406	Bacillus cereus NC7401
CP000227.1	4	20140515	361100	Bacillus cereus Q1
CM000720.1	1	20090531	526968	Bacillus cereus R309803
CM000728.1	1	20090531	526981	Bacillus cereus Rock1-3
CM000729.1	1	20090531	526982	Bacillus cereus Rock1-15
CM000730.1	1	20090531	526983	Bacillus cereus Rock3-28
CM000731.1	1	20090531	526984	Bacillus cereus Rock3-29
CM000732.1	1	20090531	526985	Bacillus cereus Rock3-42
CM000733.1	1	20090531	526986	Bacillus cereus Rock3-44
CM000734.1	1	20090531	526987	Bacillus cereus Rock4-2
CM000735.1	1	20090531	526988	Bacillus cereus Rock4-18
AP006627.1	11	20090517	66692	Bacillus clausii KSM-K16
CP010525.1	1	20150218	1398	Bacillus coagulans strain HM-08
CP002472.1	7	20140515	941639	Bacillus coagulans 2-6
CP003056.1	4	20131216	345219	Bacillus coagulans 36D1
CP009709.1	1	20150206	1121088	Bacillus coagulans DSM 1 = ATCC 7050
CP000764.1	7	20140515	315749	Bacillus cytotoxicus NVH 391-98
BA000004.3	8	20090517	272558	Bacillus halodurans C-125
CP006643.1	3	20140516	1367477	Bacillus infantis NRRL B-14911
CP003923.1	2	20141002	1246626	Bacillus lehensis G1
CP010524.1	1	20150218	1402	Bacillus licheniformis strain BL-09
CP005965.1	7	20140516	766760	Bacillus licheniformis 9945A
CP000002.3	10	20140515	279010	Bacillus licheniformis DSM 13 = ATCC 14580
AE017333.1	12	20150219	279010	Bacillus licheniformis DSM 13 = ATCC 14580
CP001982.1	7	20150118	592022	Bacillus megaterium DSM 319
CP009920.1	1	20150206	1348623	Bacillus megaterium NBRC 15308 = ATCC 14581
CP001983.1	5	20140515	545693	Bacillus megaterium QM B1551
CP003017.1	5	20140515	1006007	Bacillus megaterium WSH-002
CP007739.1	3	20150314	796606	Bacillus methanolicus MGA3
CP009679.1	1	20141029	492670	Bacillus methylotrophicus strain JS25R
CP009692.1	1	20150206	1405	Bacillus mycoides strain ATCC 6462
CP007626.1	2	20141002	1405	Bacillus mycoides strain 219298
CM000742.1	1	20090531	526997	Bacillus mycoides DSM 2048
CM000743.1	1	20090531	526998	Bacillus mycoides Rock1-4
CM000744.1	1	20090531	526999	Bacillus mycoides Rock3-17
CP001878.2	10	20140515	398511	Bacillus pseudofirmus OF4
CM000745.1	1	20090531	527000	Bacillus pseudomycoides DSM 12442
CP007436.1	3	20140501	1408	Bacillus pumilus strain MTCC B6033
CP011150.1	1	20150417	1408	Bacillus pumilus strain W3
CP000813.1	6	20140515	315750	Bacillus pumilus SAFR-032
CP005586.1	5	20140515	666686	Bacillus sp. 1NLA3E
CP009938.1	2	20150326	1570330	Bacillus sp. BH072
CP003492.1	5	20140515	1127744	Bacillus sp. JS
CP011101.1	1	20150424	1628753	Bacillus sp. LM 4-2
AP013294.1	1	20150106	98228	Bacillus sp. OxB-1
CP010406.1	1	20150107	1446792	Bacillus sp. Pc3
CP010075.1	2	20150227	756828	Bacillus sp. WP8
CP008855.1	5	20150409	1565991	Bacillus sp. X1(2014)
CP010014.1	1	20150220	1574141	Bacillus sp. YP1
CP009611.1	2	20150211	1423	Bacillus subtilis strain Bs-916
CP009749.1	1	20141106	1423	Bacillus subtilis strain ATCC 19217
CP009748.1	1	20141106	1423	Bacillus subtilis strain ATCC 13952
CP010053.1	1	20141205	1423	Bacillus subtilis strain PS832
CP011051.1	2	20150409	1423	Bacillus subtilis strain T30
AP012496.1	1	20130417	1204342	Bacillus subtilis BEST7003
AP012495.1	1	20130131	1204343	Bacillus subtilis BEST7613
CP002468.1	4	20140515	936156	Bacillus subtilis BSn5
CP007173.1	1	20150421	1453990	Bacillus subtilis HJ5
CP011115.1	1	20150417	1136873	Bacillus subtilis KCTC 1028
CP003783.1	6	20140515	1220533	Bacillus subtilis QB928
AP011541.2	7	20141028	645657	Bacillus subtilis subsp. natto BEST195 DNA
CP010434.1	1	20150113	96241	Bacillus subtilis subsp. spizizenii strain NRS 231
CP002183.1	6	20140515	655816	Bacillus subtilis subsp. spizizenii str. W23
CP002905.1	5	20140515	1052585	Bacillus subtilis subsp. spizizenii TU-B-10
CP010314.1	2	20150326	135461	Bacillus subtilis subsp. subtilis strain 3NA
CP003329.1	4	20140515	1147161	Bacillus subtilis subsp. subtilis 6051-HGW
AL009126.3	12	20150227	224308	Bacillus subtilis subsp. subtilis str. 168
CM000487.1	2	20081126	224308	Bacillus subtilis subsp. subtilis str. 168 (unannotated)
CP010052.1	1	20141205	224308	Bacillus subtilis subsp. subtilis str. 168
CP008698.1	2	20140725	1221328	Bacillus subtilis subsp. subtilis str. AG1839
CP004405.1	4	20140820	1302650	Bacillus subtilis subsp. subtilis str. BAB-1
CP003695.1	6	20140515	1192196	Bacillus subtilis subsp. subtilis str. BSP1
CM000489.1	1	20080813	535025	Bacillus subtilis subsp. subtilis str. JH642
CP007800.1	2	20140725	1232554	Bacillus subtilis subsp. subtilis str. JH642 substr. AG174
CM000488.1	1	20080813	535026	Bacillus subtilis subsp. subtilis str. NCIB 3610
CP007409.1	1	20140615	1404258	Bacillus subtilis subsp. subtilis str. OH 131.1
CP002906.1	5	20140515	1052588	Bacillus subtilis subsp. subtilis str. RO-NN-1
CM000490.1	1	20080813	535024	Bacillus subtilis subsp. subtilis str. SMY
CP005997.1	1	20140805	1340494	Bacillus subtilis TO-A
CP004019.1	5	20140515	1233100	Bacillus subtilis XF-1
CP009600.1	1	20150206	1428	Bacillus thuringiensis strain HD571
CP009720.1	1	20150206	1428	Bacillus thuringiensis strain HD682
CP009335.1	1	20150206	1428	Bacillus thuringiensis strain HD1011
CP010088.1	1	20150206	1428	Bacillus thuringiensis strain 97-27
CP001903.1	7	20140515	714359	Bacillus thuringiensis BMB171
CM000747.1	1	20090531	527021	Bacillus thuringiensis Bt407 strain Bt407
CP003889.1	6	20140515	527021	Bacillus thuringiensis Bt407
CP009351.1	1	20150211	1452729	Bacillus thuringiensis HD1002
CP003752.1	2	20140203	1218175	Bacillus thuringiensis HD-771
CP003763.1	4	20140515	1217737	Bacillus thuringiensis HD-789
CM000758.1	1	20090531	527019	Bacillus thuringiensis IBL 200
CM000759.1	1	20090531	527020	Bacillus thuringiensis IBL 4222
CP003687.1	8	20140515	1195464	Bacillus thuringiensis MC28
CM000754.1	1	20090531	527032	Bacillus thuringiensis serovar andalousiensis BGSC 4AW1
CM000753.1	1	20090531	527031	Bacillus thuringiensis serovar berliner ATCC 10792
CP001907.1	5	20140515	541229	Bacillus thuringiensis serovar chinensis CT-43
CP002508.1	4	20140515	930170	Bacillus thuringiensis serovar finitimus YBT-020
