"Species_Metadata","MDS_V1","MDS_V2","Description","Bacteria","Target","Phyla","Class","Min_Distance","Min_Name","Groups","Min_Groups"
"Acidiphilium_cryptum_Proteobacteria_Alphaproteobacteria_Other",10.1699808376103,19.3352041751088,"Acidiphilium_cryptum_Proteobacteria_Alphaproteobacteria_Other","A. cryptum","Other","Proteobacteria","Alphaproteobacteria",37.05045,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Alphaproteobacteria","Alphaproteobacteria (N=193)"
"Acidiphilium_multivorum_Proteobacteria_Alphaproteobacteria_Other",10.1741434290068,19.3414475032302,"Acidiphilium_multivorum_Proteobacteria_Alphaproteobacteria_Other","A. multivorum","Other","Proteobacteria","Alphaproteobacteria",37.06423,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Alphaproteobacteria","Alphaproteobacteria (N=193)"
"Acidithiobacillus_caldus_Proteobacteria_Acidithiobacillia_Other",13.0143474768377,-3.33192206317394,"Acidithiobacillus_caldus_Proteobacteria_Acidithiobacillia_Other","A. caldus","Other","Proteobacteria","Acidithiobacillia",21.09836,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Acidithiobacillia","Acidithiobacillia"
"Acidithiobacillus_ferrivorans_Proteobacteria_Acidithiobacillia_Other",13.2733886669814,-3.62533551073649,"Acidithiobacillus_ferrivorans_Proteobacteria_Acidithiobacillia_Other","A. ferrivorans","Other","Proteobacteria","Acidithiobacillia",21.75196,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Acidithiobacillia","Acidithiobacillia"
"Acidithiobacillus_ferrooxidans_Proteobacteria_Acidithiobacillia_Other",13.3542477659524,-3.67328816628277,"Acidithiobacillus_ferrooxidans_Proteobacteria_Acidithiobacillia_Other","A. ferrooxidans","Other","Proteobacteria","Acidithiobacillia",21.92975,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Acidithiobacillia","Acidithiobacillia"
"Acidobacterium_capsulatum_Acidobacteria_Acidobacteriales_Other",-7.25366833449648,1.21683152010796,"Acidobacterium_capsulatum_Acidobacteria_Acidobacteriales_Other","A. capsulatum","Other","Acidobacteria","Acidobacteriales",31.15067,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Others","Others"
"Acidothermus_cellulolyticus_Actinobacteria_Acidothermales_Other",-15.294967869128,-11.72117114751,"Acidothermus_cellulolyticus_Actinobacteria_Acidothermales_Other","A. cellulolyticus","Other","Actinobacteria","Acidothermales",14.36509,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Acidovorax_avenae_Proteobacteria_Betaproteobacteria_Other",18.9409395652834,-6.98360827526646,"Acidovorax_avenae_Proteobacteria_Betaproteobacteria_Other","A. avenae","Other","Proteobacteria","Betaproteobacteria",23.17141,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Betaproteobacteria","Betaproteobacteria (N=85)"
"Acidovorax_citrulli_Proteobacteria_Betaproteobacteria_Other",19.011776251388,-7.02674095833053,"Acidovorax_citrulli_Proteobacteria_Betaproteobacteria_Other","A. citrulli","Other","Proteobacteria","Betaproteobacteria",23.28693,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Betaproteobacteria","Betaproteobacteria (N=85)"
"Acidovorax_ebreus_Proteobacteria_Betaproteobacteria_Other",18.9938408887406,-7.01570561895135,"Acidovorax_ebreus_Proteobacteria_Betaproteobacteria_Other","A. ebreus","Other","Proteobacteria","Betaproteobacteria",23.26003,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Betaproteobacteria","Betaproteobacteria (N=85)"
"Acidovorax_sp._Proteobacteria_Betaproteobacteria_Other",19.1075618991301,-7.08510395330789,"Acidovorax_sp._Proteobacteria_Betaproteobacteria_Other","A. sp.","Other","Proteobacteria","Betaproteobacteria",23.44319,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Betaproteobacteria","Betaproteobacteria (N=85)"
"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural",17.4272916098444,-6.15665461753011,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","A. baumannii","Structural","Proteobacteria","Gammaproteobacteria",0,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Acinetobacter_calcoaceticus_Proteobacteria_Gammaproteobacteria_Other",17.4060904547196,-6.14443396578643,"Acinetobacter_calcoaceticus_Proteobacteria_Gammaproteobacteria_Other","A. calcoaceticus","Other","Proteobacteria","Gammaproteobacteria",0.36253,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Acinetobacter_oleivorans_Proteobacteria_Gammaproteobacteria_Other",17.4980008503626,-6.20016706389773,"Acinetobacter_oleivorans_Proteobacteria_Gammaproteobacteria_Other","A. oleivorans","Other","Proteobacteria","Gammaproteobacteria",0.54076,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Acinetobacter_sp._Proteobacteria_Gammaproteobacteria_Other",17.5303536506863,-6.22090145991909,"Acinetobacter_sp._Proteobacteria_Gammaproteobacteria_Other","A. sp.","Other","Proteobacteria","Gammaproteobacteria",0.89748,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Actinobacillus_equuli_Proteobacteria_Gammaproteobacteria_Other",20.0154634277034,-7.39375963564841,"Actinobacillus_equuli_Proteobacteria_Gammaproteobacteria_Other","A. equuli","Other","Proteobacteria","Gammaproteobacteria",6.0545,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Actinobacillus_pleuropneumoniae_Proteobacteria_Gammaproteobacteria_Other",20.0221438518898,-7.3968514304509,"Actinobacillus_pleuropneumoniae_Proteobacteria_Gammaproteobacteria_Other","A. pleuropneumoniae","Other","Proteobacteria","Gammaproteobacteria",6.06385,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Actinobacillus_succinogenes_Proteobacteria_Gammaproteobacteria_Other",20.1099525366239,-7.46066369332968,"Actinobacillus_succinogenes_Proteobacteria_Gammaproteobacteria_Other","A. succinogenes","Other","Proteobacteria","Gammaproteobacteria",5.78447,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Actinobacillus_suis_Proteobacteria_Gammaproteobacteria_Other",20.0348702735585,-7.40579995047239,"Actinobacillus_suis_Proteobacteria_Gammaproteobacteria_Other","A. suis","Other","Proteobacteria","Gammaproteobacteria",6.08012,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Actinobaculum_schaalii_Actinobacteria_Actinomycetales_Other",-16.193565346991,-13.5630118819209,"Actinobaculum_schaalii_Actinobacteria_Actinomycetales_Other","A. schaalii","Other","Actinobacteria","Actinomycetales",19.09066,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Actinoplanes_friuliensis_Actinobacteria_Micromonosporales_Other",-15.4045420111407,-12.5228080004051,"Actinoplanes_friuliensis_Actinobacteria_Micromonosporales_Other","A. friuliensis","Other","Actinobacteria","Micromonosporales",15.09699,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Actinoplanes_missouriensis_Actinobacteria_Micromonosporales_Other",-15.5748799364169,-12.7448211451978,"Actinoplanes_missouriensis_Actinobacteria_Micromonosporales_Other","A. missouriensis","Other","Actinobacteria","Micromonosporales",15.49906,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Actinoplanes_sp._Actinobacteria_Micromonosporales_Other",-15.420461441583,-12.5433243540234,"Actinoplanes_sp._Actinobacteria_Micromonosporales_Other","A. sp.","Other","Actinobacteria","Micromonosporales",15.13604,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Actinosynnema_mirum_Actinobacteria_Pseudonocardiales_Other",-15.4177259665679,-11.9914481142638,"Actinosynnema_mirum_Actinobacteria_Pseudonocardiales_Other","A. mirum","Other","Actinobacteria","Pseudonocardiales",10.23467,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Adlercreutzia_equolifaciens_Actinobacteria_Coriobacteriia_Other",-9.43714557125876,-2.8921248002452,"Adlercreutzia_equolifaciens_Actinobacteria_Coriobacteriia_Other","A. equolifaciens","Other","Actinobacteria","Coriobacteriia",28.10695,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Actinobacteria","Actinobacteria (N=193)"
"Advenella_mimigardefordensis_Proteobacteria_Betaproteobacteria_Other",17.9435438717087,-6.39123822955837,"Advenella_mimigardefordensis_Proteobacteria_Betaproteobacteria_Other","A. mimigardefordensis","Other","Proteobacteria","Betaproteobacteria",21.36792,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Betaproteobacteria","Betaproteobacteria (N=85)"
"Aequorivita_sublithincola_Bacteroidetes_Flavobacteriia_Other",-8.18725112567231,9.47389034798779,"Aequorivita_sublithincola_Bacteroidetes_Flavobacteriia_Other","A. sublithincola","Other","Bacteroidetes","Flavobacteriia",8.73166,"Flavobacterium_johnsoniae_Bacteroidetes_Flavobacteriia_Structural","Bacteroidetes","Bacteroidetes (N=85)"
"Aerococcus_urinae_Firmicutes_Bacilli_Other",-11.4897916792843,3.07820544217968,"Aerococcus_urinae_Firmicutes_Bacilli_Other","A. urinae","Other","Firmicutes","Bacilli",14.97586,"Listeria_monocytogenes_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Aeromonas_hydrophila_Proteobacteria_Gammaproteobacteria_Other",19.7335672243423,-7.65061450225897,"Aeromonas_hydrophila_Proteobacteria_Gammaproteobacteria_Other","A. hydrophila","Other","Proteobacteria","Gammaproteobacteria",8.41964,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Aeromonas_salmonicida_Proteobacteria_Gammaproteobacteria_Other",19.8265706339174,-7.70914473548111,"Aeromonas_salmonicida_Proteobacteria_Gammaproteobacteria_Other","A. salmonicida","Other","Proteobacteria","Gammaproteobacteria",8.56622,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Aeromonas_veronii_Proteobacteria_Gammaproteobacteria_Other",19.7014243986205,-7.63007082532182,"Aeromonas_veronii_Proteobacteria_Gammaproteobacteria_Other","A. veronii","Other","Proteobacteria","Gammaproteobacteria",8.39828,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Aggregatibacter_actinomycetemcomitans_Proteobacteria_Gammaproteobacteria_Other",20.1576504483164,-7.48825719515238,"Aggregatibacter_actinomycetemcomitans_Proteobacteria_Gammaproteobacteria_Other","A. actinomycetemcomitans","Other","Proteobacteria","Gammaproteobacteria",6.12111,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Aggregatibacter_aphrophilus_Proteobacteria_Gammaproteobacteria_Other",20.069757531545,-7.43338073270546,"Aggregatibacter_aphrophilus_Proteobacteria_Gammaproteobacteria_Other","A. aphrophilus","Other","Proteobacteria","Gammaproteobacteria",6.00832,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Agrobacterium_fabrum_Proteobacteria_Alphaproteobacteria_Other",8.86285753010489,20.7850002196063,"Agrobacterium_fabrum_Proteobacteria_Alphaproteobacteria_Other","A. fabrum","Other","Proteobacteria","Alphaproteobacteria",36.84999,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Alphaproteobacteria","Alphaproteobacteria (N=193)"
"Agrobacterium_radiobacter_Proteobacteria_Alphaproteobacteria_Other",9.04975150336506,21.1642082406815,"Agrobacterium_radiobacter_Proteobacteria_Alphaproteobacteria_Other","A. radiobacter","Other","Proteobacteria","Alphaproteobacteria",37.47752,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Alphaproteobacteria","Alphaproteobacteria (N=193)"
"Agrobacterium_sp._Proteobacteria_Alphaproteobacteria_Other",8.85591005951602,20.7704888478753,"Agrobacterium_sp._Proteobacteria_Alphaproteobacteria_Other","A. sp.","Other","Proteobacteria","Alphaproteobacteria",36.82784,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Alphaproteobacteria","Alphaproteobacteria (N=193)"
"Agrobacterium_vitis_Proteobacteria_Alphaproteobacteria_Other",8.90143909612579,20.8602973101619,"Agrobacterium_vitis_Proteobacteria_Alphaproteobacteria_Other","A. vitis","Other","Proteobacteria","Alphaproteobacteria",36.99105,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Alphaproteobacteria","Alphaproteobacteria (N=193)"
"Akkermansia_muciniphila_Verrucomicrobia_Verrucomicrobiae_Other",-1.6566714914852,3.26994645481287,"Akkermansia_muciniphila_Verrucomicrobia_Verrucomicrobiae_Other","A. muciniphila","Other","Verrucomicrobia","Verrucomicrobiae",35.6152,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Others","Others"
"Alcanivorax_borkumensis_Proteobacteria_Gammaproteobacteria_Other",17.5890177885043,-6.2579638385432,"Alcanivorax_borkumensis_Proteobacteria_Gammaproteobacteria_Other","A. borkumensis","Other","Proteobacteria","Gammaproteobacteria",12.14858,"Pseudomonas_aeruginosa_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alcanivorax_dieselolei_Proteobacteria_Gammaproteobacteria_Other",17.2878555023788,-6.07285528157973,"Alcanivorax_dieselolei_Proteobacteria_Gammaproteobacteria_Other","A. dieselolei","Other","Proteobacteria","Gammaproteobacteria",11.62341,"Pseudomonas_aeruginosa_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alcanivorax_pacificus_Proteobacteria_Gammaproteobacteria_Other",17.5641707080889,-6.23932492176178,"Alcanivorax_pacificus_Proteobacteria_Gammaproteobacteria_Other","A. pacificus","Other","Proteobacteria","Gammaproteobacteria",12.16767,"Pseudomonas_aeruginosa_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alcanivorax_sp._Proteobacteria_Gammaproteobacteria_Other",17.5896382283872,-6.25834611899916,"Alcanivorax_sp._Proteobacteria_Gammaproteobacteria_Other","A. sp.","Other","Proteobacteria","Gammaproteobacteria",12.14955,"Pseudomonas_aeruginosa_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alicycliphilus_denitrificans_Proteobacteria_Betaproteobacteria_Other",19.0876746823746,-7.07296890936766,"Alicycliphilus_denitrificans_Proteobacteria_Betaproteobacteria_Other","A. denitrificans","Other","Proteobacteria","Betaproteobacteria",23.41065,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Betaproteobacteria","Betaproteobacteria (N=85)"
"Alicyclobacillus_acidocaldarius_Firmicutes_Bacilli_Other",-9.84258776452256,0.941947017068824,"Alicyclobacillus_acidocaldarius_Firmicutes_Bacilli_Other","A. acidocaldarius","Other","Firmicutes","Bacilli",19.04917,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Aliivibrio_salmonicida_Proteobacteria_Gammaproteobacteria_Other",20.0408539678469,-7.70395351427308,"Aliivibrio_salmonicida_Proteobacteria_Gammaproteobacteria_Other","A. salmonicida","Other","Proteobacteria","Gammaproteobacteria",7.82588,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alistipes_finegoldii_Bacteroidetes_Bacteroidia_Other",-9.2210974087321,9.02121933016014,"Alistipes_finegoldii_Bacteroidetes_Bacteroidia_Other","A. finegoldii","Other","Bacteroidetes","Bacteroidia",21.5048,"Flavobacterium_johnsoniae_Bacteroidetes_Flavobacteriia_Structural","Bacteroidetes","Bacteroidetes (N=85)"
"Alkalilimnicola_ehrlichii_Proteobacteria_Gammaproteobacteria_Other",17.7602993226096,-6.12972431154853,"Alkalilimnicola_ehrlichii_Proteobacteria_Gammaproteobacteria_Other","A. ehrlichii","Other","Proteobacteria","Gammaproteobacteria",16.24022,"Pseudomonas_aeruginosa_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alkaliphilus_metalliredigens_Firmicutes_Clostridia_Other",-10.7403861061057,1.48144233429831,"Alkaliphilus_metalliredigens_Firmicutes_Clostridia_Other","A. metalliredigens","Other","Firmicutes","Clostridia",20.76968,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Alkaliphilus_oremlandii_Firmicutes_Clostridia_Other",-10.5821989587725,1.52896202651733,"Alkaliphilus_oremlandii_Firmicutes_Clostridia_Other","A. oremlandii","Other","Firmicutes","Clostridia",20.10175,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Allochromatium_vinosum_Proteobacteria_Gammaproteobacteria_Other",16.9984761270088,-5.88066485328483,"Allochromatium_vinosum_Proteobacteria_Gammaproteobacteria_Other","A. vinosum","Other","Proteobacteria","Gammaproteobacteria",15.65341,"Pseudomonas_aeruginosa_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alpha_proteobacterium_Proteobacteria_Alphaproteobacteria_Other",7.05026871155924,14.1633642872105,"Alpha_proteobacterium_Proteobacteria_Alphaproteobacteria_Other","A. proteobacterium","Other","Proteobacteria","Alphaproteobacteria",39.7968,"Acinetobacter_baumannii_Proteobacteria_Gammaproteobacteria_Structural","Alphaproteobacteria","Alphaproteobacteria (N=193)"
"Alteromonas_australica_Proteobacteria_Gammaproteobacteria_Other",18.0863943637157,-6.48488388260381,"Alteromonas_australica_Proteobacteria_Gammaproteobacteria_Other","A. australica","Other","Proteobacteria","Gammaproteobacteria",11.86037,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alteromonas_macleodii_Proteobacteria_Gammaproteobacteria_Other",18.2169029424712,-6.57034394333527,"Alteromonas_macleodii_Proteobacteria_Gammaproteobacteria_Other","A. macleodii","Other","Proteobacteria","Gammaproteobacteria",11.80381,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Alteromonas_sp._Proteobacteria_Gammaproteobacteria_Other",18.301303209329,-6.62267941392612,"Alteromonas_sp._Proteobacteria_Gammaproteobacteria_Other","A. sp.","Other","Proteobacteria","Gammaproteobacteria",11.92541,"Escherichia_coli_Proteobacteria_Gammaproteobacteria_Structural","Gammaproteobacteria","Gammaproteobacteria (N=268)"
"Aminobacterium_colombiense_Synergistetes_Synergistia_Other",-8.305599160632,0.738703400645214,"Aminobacterium_colombiense_Synergistetes_Synergistia_Other","A. colombiense","Other","Synergistetes","Synergistia",31.11995,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Others","Others"
"Ammonifex_degensii_Firmicutes_Clostridia_Other",-10.2455390948277,0.848149562416878,"Ammonifex_degensii_Firmicutes_Clostridia_Other","A. degensii","Other","Firmicutes","Clostridia",25.21664,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Amphibacillus_xylanus_Firmicutes_Bacilli_Other",-11.2451496308997,2.98770752151259,"Amphibacillus_xylanus_Firmicutes_Bacilli_Other","A. xylanus","Other","Firmicutes","Bacilli",11.29763,"Listeria_monocytogenes_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Amycolatopsis_japonica_Actinobacteria_Pseudonocardiales_Other",-14.3768254366502,-12.1386694966668,"Amycolatopsis_japonica_Actinobacteria_Pseudonocardiales_Other","A. japonica","Other","Actinobacteria","Pseudonocardiales",13.37319,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Amycolatopsis_mediterranei_Actinobacteria_Pseudonocardiales_Other",-15.6658937751265,-12.3169349533364,"Amycolatopsis_mediterranei_Actinobacteria_Pseudonocardiales_Other","A. mediterranei","Other","Actinobacteria","Pseudonocardiales",10.94678,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Amycolatopsis_methanolica_Actinobacteria_Pseudonocardiales_Other",-14.2428004094376,-11.9558254276704,"Amycolatopsis_methanolica_Actinobacteria_Pseudonocardiales_Other","A. methanolica","Other","Actinobacteria","Pseudonocardiales",12.9738,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Amycolatopsis_orientalis_Actinobacteria_Pseudonocardiales_Other",-14.3629954358531,-12.1196164742651,"Amycolatopsis_orientalis_Actinobacteria_Pseudonocardiales_Other","A. orientalis","Other","Actinobacteria","Pseudonocardiales",13.33899,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Amycolicicoccus_subflavus_Actinobacteria_Corynebacteriales_Other",-16.0903126058506,-12.9137251200079,"Amycolicicoccus_subflavus_Actinobacteria_Corynebacteriales_Other","A. subflavus","Other","Actinobacteria","Corynebacteriales",7.76215,"Mycobacterium_smegmatis_Actinobacteria_Corynebacteriales_Structural","Actinobacteria","Actinobacteria (N=193)"
"Anabaena_cylindrica_Cyanobacteria_Nostocales_Other",-7.61712655544816,-1.90133136888194,"Anabaena_cylindrica_Cyanobacteria_Nostocales_Other","A. cylindrica","Other","Cyanobacteria","Nostocales",28.5714,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Others","Others"
"Anabaena_variabilis_Cyanobacteria_Nostocales_Other",-7.63880773824154,-1.92391797664366,"Anabaena_variabilis_Cyanobacteria_Nostocales_Other","A. variabilis","Other","Cyanobacteria","Nostocales",28.71191,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Others","Others"
"Anaerobaculum_mobile_Synergistetes_Synergistia_Other",-8.00227235721775,0.897619531483762,"Anaerobaculum_mobile_Synergistetes_Synergistia_Other","A. mobile","Other","Synergistetes","Synergistia",29.37916,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Others","Others"
"Anaerococcus_prevotii_Firmicutes_Tissierellia_Other",-10.5333133051463,1.73530424859504,"Anaerococcus_prevotii_Firmicutes_Tissierellia_Other","A. prevotii","Other","Firmicutes","Tissierellia",24.44474,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Firmicutes","Firmicutes (N=264)"
"Anaerolinea_thermophila_Chloroflexi_Anaerolineae_Other",-6.13672093577358,1.78848899082848,"Anaerolinea_thermophila_Chloroflexi_Anaerolineae_Other","A. thermophila","Other","Chloroflexi","Anaerolineae",30.05114,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Others","Others"
"Anaeromyxobacter_dehalogenans_Proteobacteria_Deltaproteobacteria_Other",-5.37028075729519,3.1681854899518,"Anaeromyxobacter_dehalogenans_Proteobacteria_Deltaproteobacteria_Other","A. dehalogenans","Other","Proteobacteria","Deltaproteobacteria",29.81638,"Bacillus_subtilis_Firmicutes_Bacilli_Structural","Deltaproteobacteria/Oligoflexia","Deltaproteobacteria (N=46)"
